drug_a,drug_b,severity,mechanism,description
Warfarin,Aspirin,major,Pharmacodynamic synergism + GI injury,"Combined use greatly increases bleeding risk; aspirin impairs platelet aggregation and damages the gastric mucosa while warfarin suppresses clotting factor synthesis."
Warfarin,Ibuprofen,major,CYP2C9 inhibition + platelet impairment,"Ibuprofen inhibits the CYP2C9 enzyme that clears warfarin and also impairs platelet function; the combined effect substantially raises haemorrhage risk."
Warfarin,Naproxen,major,Pharmacodynamic synergism,"Naproxen displaces warfarin from protein-binding sites and inhibits platelet aggregation; gastrointestinal and systemic bleeding risk is significantly elevated."
Warfarin,Fluconazole,major,CYP2C9 inhibition,"Fluconazole potently inhibits CYP2C9; warfarin clearance falls and INR can increase dramatically; serious haemorrhage may occur."
Warfarin,Clarithromycin,major,CYP3A4 and CYP2C9 inhibition,"Clarithromycin inhibits the enzymes that metabolise warfarin; INR rises and haemorrhage risk is substantially increased."
Warfarin,Erythromycin,major,CYP3A4 inhibition,"Erythromycin inhibits CYP3A4-mediated warfarin clearance leading to elevated INR and increased bleeding risk."
Warfarin,Metronidazole,major,CYP2C9 inhibition,"Metronidazole markedly inhibits CYP2C9; warfarin plasma levels can double leading to serious bleeding risk."
Warfarin,Amiodarone,major,CYP2C9 and CYP3A4 inhibition (prolonged effect),"Amiodarone has a very long half-life and persistently inhibits warfarin metabolism; INR may stay elevated for weeks or months after starting amiodarone."
Warfarin,Rifampicin,major,CYP enzyme induction,"Rifampicin potently induces CYP enzymes dramatically reducing warfarin plasma levels; patients may lose anticoagulant protection entirely."
Warfarin,Phenytoin,major,Bidirectional CYP interaction,"Phenytoin initially inhibits then induces warfarin metabolism causing unpredictable INR fluctuations; very close monitoring is essential."
Warfarin,Diclofenac,major,CYP2C9 inhibition + platelet impairment,"Diclofenac inhibits CYP2C9 and platelet function; the combination with warfarin substantially increases gastrointestinal and other bleeding risks."
Warfarin,Clopidogrel,major,Pharmacodynamic synergism,"Combining an anticoagulant with an antiplatelet agent greatly increases haemorrhage risk; use only when clinically justified with close monitoring."
Warfarin,Ciprofloxacin,moderate,CYP enzyme inhibition,"Ciprofloxacin moderately inhibits warfarin metabolism; INR should be monitored after starting or stopping ciprofloxacin."
Warfarin,Omeprazole,moderate,CYP2C19 inhibition,"Omeprazole may modestly increase warfarin exposure; periodic INR monitoring is advisable during co-treatment."
Warfarin,Azithromycin,moderate,P-glycoprotein inhibition,"Azithromycin may moderately increase warfarin levels; INR should be checked during co-administration."
Warfarin,St. John Wort,major,CYP enzyme induction,"St. John Wort potently induces CYP3A4 and CYP2C9; warfarin levels fall substantially increasing risk of thromboembolism."
Warfarin,Ketoconazole,major,CYP2C9 inhibition,"Ketoconazole markedly inhibits warfarin metabolism; significant INR elevation and bleeding risk."
Ciprofloxacin,Calcium Carbonate,moderate,Chelation in gastrointestinal tract,"Calcium ions form insoluble chelate complexes with ciprofloxacin in the gut reducing its absorption by up to 50%."
Ciprofloxacin,Aluminum Hydroxide,moderate,Chelation in gastrointestinal tract,"Aluminium ions chelate fluoroquinolones in the gut; ciprofloxacin bioavailability can fall by up to 90% if taken simultaneously."
Ciprofloxacin,Theophylline,major,CYP1A2 inhibition,"Ciprofloxacin inhibits CYP1A2 raising theophylline plasma levels 2-3 fold; theophylline toxicity including seizures and cardiac arrhythmia may occur."
Levofloxacin,Calcium Carbonate,moderate,Chelation in gastrointestinal tract,"Calcium chelates levofloxacin in the gut reducing bioavailability; take antacids at least 2 hours apart from levofloxacin."
Amoxicillin,Methotrexate,major,Renal tubular secretion competition,"Penicillins compete with methotrexate for renal tubular secretion; methotrexate accumulates to toxic levels causing bone marrow suppression and mucositis."
Metronidazole,Alcohol,major,Disulfiram-like reaction,"Metronidazole inhibits aldehyde dehydrogenase; alcohol is converted to toxic acetaldehyde causing severe flushing nausea vomiting and tachycardia."
Clarithromycin,Simvastatin,major,CYP3A4 inhibition,"Clarithromycin dramatically increases simvastatin plasma levels; risk of severe muscle damage including rhabdomyolysis is substantially elevated."
Clarithromycin,Atorvastatin,major,CYP3A4 inhibition,"Clarithromycin raises atorvastatin exposure several-fold; rhabdomyolysis risk is substantially increased."
Rifampicin,Oral Contraceptive,major,CYP enzyme induction,"Rifampicin accelerates oestrogen and progestogen metabolism; contraceptive failure has been well-documented and alternative contraception is required."
Methotrexate,Ibuprofen,major,Renal tubular competition + reduced renal blood flow,"NSAIDs reduce renal prostaglandins impairing methotrexate excretion; methotrexate toxicity including bone marrow suppression can occur."
Methotrexate,Naproxen,major,Renal tubular competition + reduced renal blood flow,"NSAIDs including naproxen impair methotrexate renal excretion; haematological toxicity is a serious risk."
Methotrexate,Trimethoprim,major,Folate antagonism,"Trimethoprim and methotrexate both inhibit dihydrofolate reductase; co-administration causes additive bone marrow suppression."
Methotrexate,Co-trimoxazole,major,Folate antagonism,"Co-trimoxazole contains trimethoprim and sulfamethoxazole both inhibiting folate metabolism; severe bone marrow toxicity can result when combined with methotrexate."
Fluoxetine,Phenelzine,major,Serotonin syndrome,"Concurrent SSRI and MAOI use causes serotonin syndrome: hyperthermia agitation clonus and potentially life-threatening cardiovascular instability."
Sertraline,Phenelzine,major,Serotonin syndrome,"SSRIs combined with MAOIs cause severe serotonin excess; this combination is absolutely contraindicated and life-threatening."
Fluoxetine,Tranylcypromine,major,Serotonin syndrome,"SSRIs and irreversible MAOIs must never be combined; at least 14 days must elapse after stopping the MAOI before starting an SSRI."
Venlafaxine,Phenelzine,major,Serotonin syndrome,"SNRIs including venlafaxine combined with MAOIs can cause life-threatening serotonin syndrome; absolutely contraindicated."
Paroxetine,Phenelzine,major,Serotonin syndrome,"Paroxetine is a potent serotonin reuptake inhibitor; combined with an MAOI it causes life-threatening serotonin syndrome."
Tramadol,Phenelzine,major,Serotonin syndrome + opioid toxicity,"Tramadol inhibits serotonin reuptake; combined with an MAOI this causes serotonin syndrome and may also precipitate respiratory depression."
Fluoxetine,Tramadol,major,Serotonin syndrome,"Fluoxetine inhibits tramadol metabolism via CYP2D6 and both increase synaptic serotonin; serotonin syndrome is a serious risk."
Sertraline,Tramadol,major,Serotonin syndrome,"Sertraline blocks serotonin reuptake; tramadol also inhibits serotonin uptake; the combination risks serotonin syndrome with agitation and hyperthermia."
Dextromethorphan,Phenelzine,major,Serotonin syndrome,"Dextromethorphan inhibits serotonin reuptake; combined with an MAOI it causes serotonin syndrome."
Lithium,Ibuprofen,major,Reduced renal clearance,"NSAIDs reduce prostaglandin-mediated renal blood flow; lithium renal excretion falls and plasma levels rise to toxic range causing tremor confusion and seizures."
Lithium,Naproxen,major,Reduced renal clearance,"Naproxen reduces renal prostaglandin synthesis impairing lithium excretion; lithium toxicity can develop rapidly."
Lithium,Diclofenac,major,Reduced renal clearance,"Diclofenac raises lithium plasma levels by reducing renal clearance; lithium toxicity including coarse tremor and drowsiness may occur."
Lithium,Hydrochlorothiazide,major,Reduced lithium clearance,"Thiazide diuretics cause sodium depletion which triggers renal lithium retention; lithium levels can rise to toxic concentrations."
Lithium,Furosemide,major,Volume depletion reduces lithium clearance,"Loop diuretics cause sodium and water loss which reduces lithium excretion; serum lithium levels can rise rapidly to toxic levels."
Lithium,Amitriptyline,major,Serotonergic and neurotoxicity synergism,"Tricyclic antidepressants increase lithium toxicity risk; the combination also raises serotonergic tone increasing neurotoxicity."
Lithium,Theophylline,moderate,Increased renal lithium clearance,"Theophylline increases renal lithium clearance potentially reducing lithium to sub-therapeutic levels; monitor lithium levels."
Haloperidol,Lithium,major,Neurotoxicity synergism,"Haloperidol combined with lithium has been associated with irreversible neurotoxicity including encephalopathy even at normal serum lithium levels."
Digoxin,Amiodarone,major,P-glycoprotein inhibition + reduced renal clearance,"Amiodarone reduces digoxin clearance by about 50%; digoxin toxicity including nausea bradycardia and heart block can develop; dose reduction and monitoring required."
Digoxin,Verapamil,major,P-glycoprotein inhibition + AV nodal depression,"Verapamil doubles digoxin plasma levels and adds additive AV nodal depression; bradycardia and heart block are significant risks."
Digoxin,Diltiazem,moderate,P-glycoprotein inhibition,"Diltiazem increases digoxin levels by 20-50%; cardiac monitoring and possible dose adjustment are needed."
Simvastatin,Gemfibrozil,major,CYP2C8 and OATP1B1 inhibition,"Gemfibrozil inhibits simvastatin metabolism and hepatic uptake raising plasma levels many-fold; risk of severe rhabdomyolysis is greatly increased."
Atorvastatin,Gemfibrozil,major,OATP1B1 inhibition,"Gemfibrozil inhibits hepatic atorvastatin uptake; plasma levels rise substantially and myopathy and rhabdomyolysis risk is elevated."
Rosuvastatin,Gemfibrozil,major,OATP1B1 inhibition,"Gemfibrozil inhibits rosuvastatin hepatic clearance raising plasma levels; rhabdomyolysis is a serious risk."
Simvastatin,Fenofibrate,moderate,Pharmacodynamic synergism,"Fenofibrate and simvastatin combination increases myopathy risk; less severe than with gemfibrozil but still requires monitoring."
Simvastatin,Amlodipine,moderate,CYP3A4 partial inhibition,"Amlodipine modestly increases simvastatin exposure; simvastatin dose should not exceed 20 mg when combined with amlodipine."
Itraconazole,Simvastatin,major,CYP3A4 inhibition,"Itraconazole dramatically elevates simvastatin plasma levels; rhabdomyolysis risk is very high and the combination should be avoided."
Lisinopril,Potassium Chloride,major,Additive hyperkalaemia,"ACE inhibitors reduce aldosterone causing potassium retention; additional potassium supplementation may cause dangerous hyperkalaemia and cardiac arrhythmia."
Ramipril,Potassium Chloride,major,Additive hyperkalaemia,"ACE inhibitors impair renal potassium excretion; supplemental potassium can push plasma levels to dangerous hyperkalaemic levels."
Enalapril,Potassium Chloride,major,Additive hyperkalaemia,"Combining an ACE inhibitor with potassium supplements risks severe hyperkalaemia particularly in patients with renal impairment."
Lisinopril,Spironolactone,major,Additive hyperkalaemia,"Both ACE inhibitors and potassium-sparing diuretics reduce potassium excretion; the combination risks life-threatening hyperkalaemia."
Ramipril,Spironolactone,major,Additive hyperkalaemia,"ACE inhibitor plus aldosterone antagonist causes additive potassium retention; hyperkalaemia can cause cardiac arrest."
Enalapril,Spironolactone,major,Additive hyperkalaemia,"ACE inhibitor and aldosterone antagonist combination causes severe potassium retention; hyperkalaemia is a serious and potentially fatal risk."
Clopidogrel,Omeprazole,moderate,CYP2C19 inhibition reduces clopidogrel activation,"Omeprazole inhibits CYP2C19 which converts clopidogrel to its active metabolite; platelet inhibition is reduced potentially increasing cardiovascular event risk."
Metformin,Alcohol,moderate,Enhanced lactic acidosis risk,"Alcohol inhibits gluconeogenesis and increases lactate production; combined with metformin this raises the risk of lactic acidosis especially with binge drinking."
Insulin,Alcohol,major,Additive hypoglycaemia,"Alcohol suppresses hepatic glucose output and potentiates insulin action; serious prolonged hypoglycaemia can occur especially during fasting."
Glipizide,Fluconazole,major,CYP2C9 inhibition,"Fluconazole inhibits CYP2C9 reducing glipizide metabolism; hypoglycaemia can be severe and prolonged."
Glimepiride,Fluconazole,major,CYP2C9 inhibition,"Fluconazole inhibits CYP2C9 raising sulfonylurea plasma levels; severe prolonged hypoglycaemia is a serious risk."
Sildenafil,Glyceryl Trinitrate,major,Additive vasodilation via cGMP,"Both drugs cause profound nitric-oxide-mediated vasodilation; the combination can cause severe potentially fatal hypotension and is absolutely contraindicated."
Sildenafil,Isosorbide Mononitrate,major,Additive vasodilation via cGMP,"Sildenafil potentiates nitrate-induced vasodilation causing severe hypotension; concurrent use with any nitrate is absolutely contraindicated."
Allopurinol,Azathioprine,major,Xanthine oxidase inhibition,"Allopurinol inhibits xanthine oxidase which breaks down azathioprine; azathioprine levels rise 3-4 fold causing severe bone marrow suppression."
Allopurinol,Mercaptopurine,major,Xanthine oxidase inhibition,"Allopurinol blocks mercaptopurine metabolism; plasma levels increase dramatically causing life-threatening myelosuppression; dose reduction of 75% required."
Carbamazepine,Oral Contraceptive,major,CYP enzyme induction,"Carbamazepine induces CYP3A4 and accelerates hormonal contraceptive metabolism; contraceptive failure is well-documented."
Carbamazepine,Lithium,major,Neurotoxicity synergism,"Carbamazepine and lithium combination increases risk of neurotoxicity including cerebellar dysfunction even at normal plasma levels of both drugs."
Phenytoin,Carbamazepine,moderate,Mutual CYP enzyme induction,"Both drugs induce hepatic CYP enzymes and accelerate each other's metabolism; serum levels of both drugs may fall unexpectedly requiring dose adjustments."
Isoniazid,Rifampicin,moderate,Additive hepatotoxicity,"Both drugs are independently hepatotoxic; co-administration during tuberculosis treatment substantially elevates the risk of drug-induced liver injury."
Isoniazid,Alcohol,moderate,Additive hepatotoxicity,"Alcohol is hepatotoxic and enhances isoniazid-induced hepatitis; patients should avoid alcohol during TB treatment."
Isoniazid,Phenytoin,major,CYP2C9 inhibition,"Isoniazid inhibits phenytoin metabolism; phenytoin toxicity including ataxia nystagmus and confusion can develop and dose reduction may be required."
Azithromycin,Amiodarone,major,QT prolongation,"Both drugs prolong the cardiac QT interval; concurrent use risks torsades de pointes and life-threatening ventricular arrhythmia."
Clarithromycin,Amiodarone,major,QT prolongation + CYP inhibition,"Clarithromycin prolongs the QT interval and inhibits amiodarone metabolism; severe arrhythmia risk including torsades de pointes."
Erythromycin,Terfenadine,major,QT prolongation via CYP3A4 inhibition,"Erythromycin inhibits terfenadine metabolism via CYP3A4 and prolongs QT interval; risk of fatal ventricular arrhythmia."
Verapamil,Atenolol,major,Additive AV nodal depression,"Both verapamil and beta-blockers depress AV conduction; co-administration risks severe bradycardia heart block and cardiac arrest."
Verapamil,Metoprolol,major,Additive AV nodal depression,"Verapamil combined with metoprolol causes additive cardiac conduction slowing; potentially life-threatening bradycardia or heart block."
Diltiazem,Atenolol,moderate,Additive AV nodal depression,"Diltiazem and beta-blockers in combination can cause excessive bradycardia and AV block; use with caution and ECG monitoring."
Furosemide,Gentamicin,major,Additive ototoxicity,"Both furosemide and aminoglycosides are ototoxic; concurrent use substantially increases the risk of irreversible sensorineural hearing loss."
Gentamicin,Amphotericin B,major,Additive nephrotoxicity,"Both drugs are nephrotoxic; the combination markedly increases the risk of acute kidney injury; renal function requires close monitoring."
Colchicine,Clarithromycin,major,P-glycoprotein and CYP3A4 inhibition,"Clarithromycin inhibits both colchicine transporters and CYP3A4 metabolism raising colchicine to toxic concentrations; colchicine toxicity can be fatal."
Colchicine,Cyclosporine,major,P-glycoprotein inhibition,"Cyclosporine inhibits colchicine efflux transporters causing colchicine accumulation; severe neuromuscular toxicity and multi-organ failure can occur."
Colchicine,Verapamil,major,P-glycoprotein inhibition,"Verapamil inhibits colchicine efflux; colchicine accumulates to potentially toxic levels; neuromuscular toxicity has been reported."
Cyclosporine,Fluconazole,major,CYP3A4 inhibition,"Fluconazole raises cyclosporine plasma levels substantially; nephrotoxicity and other cyclosporine toxicities are significantly increased."
Tacrolimus,Fluconazole,major,CYP3A4 inhibition,"Fluconazole markedly increases tacrolimus blood levels; nephrotoxicity and immunosuppression toxicity risk is substantially elevated."
Levodopa,Phenelzine,major,Catecholamine excess + hypertensive crisis,"MAOIs combined with levodopa cause severe hypertensive crisis and hyperpyrexia due to excess catecholamine release."
Linezolid,Tramadol,major,Serotonin syndrome,"Linezolid is a weak MAOI; tramadol also increases synaptic serotonin; the combination risks serotonin syndrome with agitation hyperthermia and clonus."
Linezolid,Fluoxetine,major,Serotonin syndrome,"Linezolid inhibits MAO and fluoxetine blocks serotonin reuptake; life-threatening serotonin syndrome can occur; avoid the combination."
Linezolid,Sertraline,major,Serotonin syndrome,"Linezolid combined with SSRIs creates excess synaptic serotonin; serotonin syndrome is a serious and potentially fatal risk."
Tamoxifen,Fluoxetine,moderate,CYP2D6 inhibition reduces tamoxifen activation,"Fluoxetine inhibits CYP2D6 which converts tamoxifen to active endoxifen; reduced endoxifen levels may compromise breast cancer treatment efficacy."
Paroxetine,Tamoxifen,moderate,CYP2D6 inhibition reduces tamoxifen activation,"Paroxetine is one of the most potent CYP2D6 inhibitors; co-administration markedly reduces active tamoxifen metabolite levels and anticancer efficacy."
Theophylline,Erythromycin,moderate,CYP1A2 inhibition,"Erythromycin inhibits theophylline metabolism raising plasma levels; theophylline toxicity including nausea palpitation and seizures can occur."
Paracetamol,Alcohol,moderate,Additive hepatotoxicity via CYP2E1 induction,"Chronic heavy alcohol use induces CYP2E1 which converts paracetamol to the hepatotoxic metabolite NAPQI; even therapeutic doses can cause liver damage."
Fluoxetine,Alprazolam,moderate,CYP3A4 inhibition,"Fluoxetine inhibits CYP3A4 increasing alprazolam plasma levels; excessive sedation and respiratory depression may occur."
Methotrexate,Omeprazole,moderate,Reduced renal tubular methotrexate excretion,"Proton pump inhibitors reduce renal tubular secretion of methotrexate; methotrexate levels may rise and toxicity including mucositis and myelosuppression can result."
Valproate,Carbamazepine,moderate,Bidirectional pharmacokinetic interaction,"Valproate inhibits carbamazepine metabolism while carbamazepine induces valproate clearance; unpredictable levels of both drugs require careful monitoring."
Carbamazepine,Valproate,moderate,Bidirectional pharmacokinetic interaction,"See Valproate-Carbamazepine interaction — bidirectional enzyme induction and inhibition makes both drug levels unpredictable."
